School Name,School Type,Region,Starting Median Salary,Mid-Career Median Salary
University of Texas (UT) - Austin,Party,Southern,"$49,700.00","$93,900.00"
University of Texas (UT) - Austin,State,Southern,"$49,700.00","$93,900.00"
University of Texas at Arlington (UTA),State,Southern,"$45,400.00","$80,800.00"
University of Texas at El Paso (UTEP),State,Southern,"$43,400.00","$72,100.00"
University of Texas at San Antonio (UTSA),State,Southern,"$42,500.00","$70,700.00"
University of Toledo,State,Midwestern,"$43,100.00","$75,900.00"
University of Utah,State,Western,"$45,400.00","$83,200.00"
University of Vermont (UVM),State,Northeastern,"$44,800.00","$82,700.00"
University of Virginia (UVA),State,Southern,"$52,700.00","$103,000.00"
University of Washington (UW),State,Western,"$48,800.00","$85,300.00"
University of Wisconsin (UW) - Eau Claire,State,Midwestern,"$41,400.00","$64,800.00"
University of Wisconsin (UW) - Green Bay,State,Midwestern,"$35,800.00","$60,600.00"
University of Wisconsin (UW) - La Crosse,State,Midwestern,"$42,200.00","$69,300.00"
University of Wisconsin (UW) - Madison,State,Midwestern,"$48,900.00","$87,800.00"
University of Wisconsin (UW) - Milwaukee,State,Midwestern,"$42,300.00","$74,600.00"
University of Wisconsin (UW) - Oshkosh,State,Midwestern,"$39,300.00","$66,400.00"
University of Wisconsin (UW) - Parkside,State,Midwestern,"$40,700.00","$71,400.00"
University of Wisconsin (UW) - Platteville,State,Midwestern,"$45,800.00","$78,500.00"
University of Wisconsin (UW) - Stevens Point,State,Midwestern,"$39,800.00","$64,000.00"
University of Wisconsin (UW) - Stout,State,Midwestern,"$43,600.00","$68,300.00"
University of Wisconsin (UW) - Whitewater,State,Midwestern,"$40,800.00","$75,500.00"
University of Wyoming (UW),State,Western,"$44,500.00","$78,700.00"
Ursinus College,Liberal Arts,Northeastern,"$42,100.00","$80,000.00"
Utah State University,State,Western,"$43,800.00","$78,700.00"
Utah Valley State College,State,Western,"$42,400.00","$67,100.00"
Vassar College,Liberal Arts,Northeastern,"$46,000.00","$94,600.00"
Virginia Commonwealth University (VCU),State,Southern,"$42,000.00","$68,400.00"
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,Southern,"$53,500.00","$95,400.00"
Washington State University (WSU),State,Western,"$45,300.00","$84,700.00"
Washington and Lee University,Liberal Arts,Southern,"$53,600.00","$104,000.00"
Wayne State University,State,Midwestern,"$42,800.00","$76,100.00"
Wellesley College,Liberal Arts,Northeastern,"$42,800.00","$83,500.00"
Wentworth Institute of Technology,Engineering,Northeastern,"$53,000.00","$96,700.00"
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,Northeastern,"$46,500.00","$97,900.00"
West Virginia University (WVU),State,Southern,"$43,100.00","$78,100.00"
West Virginia University (WVU),Party,Southern,"$43,100.00","$78,100.00"
Western Carolina University,State,Southern,"$36,900.00","$66,600.00"
Western Michigan University (WMU),State,Midwestern,"$42,300.00","$73,800.00"
Western Washington University,State,Western,"$42,700.00","$75,400.00"
Whitman College,Liberal Arts,Western,"$43,500.00","$80,100.00"
Williams College,Liberal Arts,Northeastern,"$51,700.00","$102,000.00"
Wittenberg University,Liberal Arts,Midwestern,"$39,200.00","$78,200.00"
Worcester Polytechnic Institute (WPI),Engineering,Northeastern,"$61,000.00","$114,000.00"
Yale University,Ivy League,Northeastern,"$59,100.00","$126,000.00"
